row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_dollars,result_position,service_page_viewed,contact_id,hired
17854,344290143721504000,2018-11-28 20:09:04.028 UTC,Local Moving (under 50 miles),286479972120921000,51,4.73,2018-11-08 22:37:00.443 UTC,114.0,1,True,344290392500256000,False
9044,344390730525310000,2018-11-30 00:05:31.176 UTC,Local Moving (under 50 miles),113798799577056000,51,4.39,2018-11-29 15:28:56.795 UTC,80.0,2,True,344391007239716000,False
23969,344455616964190000,2018-11-30 18:06:57.427 UTC,Local Moving (under 50 miles),113798799577056000,51,4.39,2018-11-29 15:28:56.795 UTC,80.0,2,True,344456050849456000,True
25670,344261954646630000,2018-11-28 12:19:15.274 UTC,Local Moving (under 50 miles),113798799577056000,51,4.39,2018-11-27 02:17:34.837 UTC,80.0,2,True,344262357486649000,False
18779,342719431684456000,2018-11-10 15:50:32.113 UTC,Local Moving (under 50 miles),243884899884762000,51,4.59,2018-11-08 19:32:40.111 UTC,110.0,2,True,342719695468617000,False
14918,343071849291628000,2018-11-14 17:44:10.152 UTC,Local Moving (under 50 miles),297694714793550000,51,4.73,2018-11-13 16:43:48.506 UTC,0.0,4,False,343072070265708000,False
14950,343110604668518000,2018-11-15 04:30:05.394 UTC,Local Moving (under 50 miles),297694714793550000,51,4.73,2018-11-14 19:31:15.569 UTC,0.0,6,False,343110893515833000,False
19480,339805458706530000,2018-10-07 22:24:19.416 UTC,House Cleaning,311971275145027000,51,4.53,2018-10-04 05:07:24.291 UTC,135.0,1,True,339805607521870000,False
17962,341768812248531000,2018-10-30 15:46:52.951 UTC,Local Moving (under 50 miles),213480893285983000,52,4.79,2018-10-30 01:45:46.48 UTC,79.0,1,True,341769129624010000,False
11549,339970490046496000,2018-10-09 20:14:50.798 UTC,House Cleaning,334333662577279000,52,4.81,2018-10-09 18:40:08.468 UTC,100.0,1,True,339970744418042000,False
2450,339943293996450000,2018-10-09 12:41:34.535 UTC,House Cleaning,233583328868549000,52,4.69,2018-10-09 11:45:16.461 UTC,90.0,1,True,339943429741731000,False
19772,344102575165718000,2018-11-26 16:02:56.054 UTC,House Cleaning,239577572060505000,52,4.94,2018-11-26 13:59:50.236 UTC,75.0,1,True,344102743836295000,False
16302,344049773598523000,2018-11-26 01:22:54.385 UTC,House Cleaning,260421174043206000,52,4.62,2018-11-25 21:16:49.99 UTC,55.0,1,True,344050057368657000,True
